,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Season,LowerTeamID,HigherTeamID,Target,avgOffRtg_LowerTeamID,avgDefRtg_LowerTeamID,avgNetRtg_LowerTeamID,avgeFG_LowerTeamID,avgTOV_LowerTeamID,avgReb_LowerTeamID,AvgWin_LowerTeamID,Elo_LowerTeamID,Margin_LowerTeamID,Seed_LowerTeamID,avgOffRtg_HigherTeamID,avgDefRtg_HigherTeamID,avgNetRtg_HigherTeamID,avgeFG_HigherTeamID,avgTOV_HigherTeamID,avgReb_HigherTeamID,AvgWin_HigherTeamID,Elo_HigherTeamID,Margin_HigherTeamID,Seed_HigherTeamID,EloDiff,OffRtgDIff,DefRtgDiff,NetRtgDiff,TOVDiff,RebDiff,eFGDiff,SeedDiff,WinDiff,MarginDiff,interaction,ESQUARE,SeedGap,EloGap,SeedProduct,OffvsDefLow,OffvsDefHi,eFGMatchupLow,eFGMatchupHi,MarginSQ,Tempo_Lower,TeamID_Higher,Tempo_Higher,TempoDiff,TempoGap,MatchupAdv,NetRtgSquared,TeamID_Lower,MarginStd_Lower,OffRtgStd_Lower,MarginStd_x,OffRtgStd_x,MarginStd_y,OffRtgStd_y,MarginStd_Higher,OffRtgStd_Higher
10,10,10,10,10,10,2003,1221,1266,0,1.066311,0.880082,0.186229,0.510509,0.213696,0.564031,0.862069,1644.0,323,14,1.15249,0.995806,0.156683,0.536723,0.198637,0.548263,0.821429,1642.0,300,3,2.0,-0.086179,-0.115724,0.029545,0.01506,0.015768,-0.026214,11,0.04064,23,22.0,4.0,11,2.0,42,0.070505,0.272408,-0.026214,0.026214,529,65.101724,1266,67.927679,-2.825954,2.825954,-0.20190299999999994,0.0008729070249999999,1221,14.884613671101144,0.1433593399919708,12.91527130199876,0.1204181605469316,14.884613671101143,0.14335933999197087,12.91527130199876,0.12041816054693166
11,11,11,11,11,11,2003,1281,1356,1,1.055602,0.967616,0.087986,0.507278,0.199342,0.51928,0.677419,1593.0,164,6,1.085801,1.000104,0.085697,0.526126,0.180548,0.49334,0.8,1631.0,193,11,-39.0,-0.030199,-0.032488,0.002289,0.018794,0.02594,-0.018847,-5,-0.122581,-29,-195.0,1521.0,5,39.0,66,0.055498,0.118185,-0.018848,0.018848,841,67.949194,1356,68.748333,-0.79914,0.79914,-0.06268700000000016,5.2395209999999995e-06,1281,15.093472205751944,0.135835704857981,11.574893559749922,0.1234060743880454,15.093472205751945,0.135835704857981,11.574893559749922,0.12340607438804543
12,12,12,12,12,12,2003,1323,1454,1,1.097724,0.985736,0.111988,0.519416,0.175976,0.49926,0.709677,1587.0,276,5,1.083698,0.9789,0.104798,0.54257,0.21001,0.506407,0.766667,1619.0,215,12,-32.0,0.014026,0.006836,0.00719,-0.034034,-0.007147,-0.023154,-7,-0.056989,61,-224.0,1024.0,7,32.0,60,0.118824,0.097962,-0.023154,0.023154,3721,72.912903,1454,71.1475,1.765403,1.765403,0.020861999999999825,5.16961e-05,1323,15.447448200721649,0.1303060269484505,12.451515164230312,0.1112940255845882,15.447448200721649,0.13030602694845056,12.451515164230313,0.11129402558458827
13,13,13,13,13,13,2003,1328,1354,1,1.08854,0.919259,0.169281,0.512124,0.181566,0.530913,0.8,1653.0,330,1,0.998475,0.979556,0.018918,0.507974,0.26521,0.513307,0.666667,1568.0,46,16,84.0,0.090066,-0.060297,0.150363,-0.083644,0.017606,0.004149,-15,0.133333,284,1260.0,7056.0,15,84.0,16,0.108984,0.079216,0.00415,-0.00415,80656,65.035,1354,73.121667,-8.086667,8.086667,0.029768000000000128,0.022609031768999997,1328,14.633452464626478,0.1570566359302258,14.845719999341576,0.1346345133521451,14.633452464626478,0.15705663593022587,14.845719999341577,0.1346345133521451
14,14,14,14,14,14,2003,1360,1390,0,1.028498,0.983144,0.045355,0.537661,0.249013,0.534524,0.607143,1560.0,87,13,1.053663,0.970755,0.082908,0.505835,0.208776,0.543405,0.741935,1613.0,164,4,-53.0,-0.025165,0.012388,-0.037553,0.040237,-0.008881,0.031826,9,-0.134793,-77,-477.0,2809.0,9,53.0,52,0.057743,0.070519,0.031826,-0.031826,5929,72.68125,1390,68.480645,4.200605,4.200605,-0.01277600000000012,0.0014102278090000002,1360,13.289760150872734,0.1256518925398679,11.267042050118558,0.1164886422478996,13.289760150872734,0.1256518925398679,11.267042050118558,0.11648864224789963
15,15,15,15,15,15,2003,1173,1409,0,1.123779,1.024256,0.099523,0.522368,0.205865,0.539815,0.827586,1647.0,188,4,1.058067,0.937803,0.120264,0.519807,0.206081,0.511828,0.709677,1596.0,256,13,51.0,0.065712,0.086453,-0.020741,-0.000216,0.027987,0.002561,-9,0.117909,-68,459.0,2601.0,9,51.0,52,0.185976,0.033811,0.002561,-0.002561,4624,64.861207,1409,69.402419,-4.541212,4.541212,0.152165,0.000430189081,1173,9.767368009474833,0.097096461812734,12.0608671383542,0.0993800537227981,9.767368009474831,0.09709646181273404,12.060867138354201,0.09938005372279814
16,16,16,16,16,16,2003,1451,1458,0,1.10811,0.996585,0.111524,0.523934,0.185045,0.510926,0.862069,1652.0,204,12,1.116702,0.925962,0.19074,0.525735,0.166167,0.523349,0.758621,1614.0,349,5,38.0,-0.008592,0.070623,-0.079216,0.018878,-0.012423,-0.001801,7,0.103448,-145,266.0,1444.0,7,38.0,60,0.182148,0.120117,-0.001801,0.001801,21025,67.168103,1458,63.341379,3.826724,3.826724,0.06203099999999995,0.006275174655999999,1451,8.898164973829035,0.1479680287973467,15.06292221369292,0.1455370420924844,8.898164973829035,0.14796802879734672,15.06292221369292,0.14553704209248447
17,17,17,17,17,17,2003,1120,1386,1,1.026416,0.965954,0.060461,0.521096,0.234116,0.510005,0.633333,1562.0,136,10,1.070476,0.893945,0.176531,0.520828,0.196162,0.500796,0.793103,1614.0,329,7,-53.0,-0.044061,0.072009,-0.11607,0.037954,0.009209,0.000268,3,-0.15977,-193,-159.0,2809.0,3,53.0,70,0.132471,0.104522,0.000268,-0.000268,37249,68.04,1386,65.983621,2.056379,2.056379,0.027949,0.013472244900000001,1120,18.672741211932863,0.1779627808452926,12.072033389109858,0.1371285207573213,18.672741211932866,0.17796278084529266,12.072033389109858,0.13712852075732138
18,18,18,18,18,18,2003,1139,1280,1,1.127619,1.006246,0.121373,0.562137,0.167825,0.480672,0.827586,1628.0,222,12,1.043695,0.905635,0.13806,0.521359,0.232071,0.543518,0.7,1600.0,300,5,28.0,0.083924,0.100611,-0.016687,-0.064246,-0.062847,0.040778,7,0.127586,-78,196.0,784.0,7,28.0,60,0.221984,0.037449,0.040778,-0.040778,6084,61.103448,1280,67.1425,-6.039052,6.039052,0.1845349999999999,0.000278455969,1139,11.187607500102722,0.1260792625986085,14.943572023702574,0.1370711385401754,11.187607500102722,0.12607926259860852,14.943572023702574,0.13707113854017547
19,19,19,19,19,19,2003,1196,1358,1,1.115089,0.954235,0.160854,0.554569,0.19517,0.510378,0.774194,1624.0,348,2,1.03595,0.933857,0.102093,0.520278,0.224691,0.510513,0.777778,1609.0,176,15,15.0,0.079138,0.020378,0.058761,-0.02952,-0.000135,0.034291,-13,-0.003584,172,195.0,225.0,13,15.0,30,0.181232,0.081715,0.034291,-0.034291,29584,68.091129,1358,69.467593,-1.376464,1.376464,0.09951700000000008,0.0034528551210000003,1196,14.335758734528968,0.1444175115020514,11.133353805191271,0.1123348640223644,14.335758734528968,0.14441751150205143,11.133353805191271,0.11233486402236441
20,20,20,20,20,20,2003,1104,1231,0,1.0337,0.980551,0.053149,0.475785,0.199076,0.52649,0.607143,1542.0,120,10,1.070934,1.014048,0.056886,0.500723,0.174114,0.504226,0.625,1556.0,113,7,-14.0,-0.037234,-0.033497,-0.003737,0.024962,0.022265,-0.024938,3,-0.017857,7,-42.0,196.0,3,14.0,70,0.019652,0.090383,-0.024938,0.024938,49,66.833929,1231,65.965625,0.868304,0.868304,-0.0707310000000001,1.3965168999999998e-05,1104,13.391144511308632,0.1377014379655555,14.178548938449236,0.1289795796343016,13.391144511308633,0.13770143796555553,14.178548938449236,0.12897957963430162
21,21,21,21,21,21,2003,1237,1246,0,1.036029,1.021735,0.014294,0.518376,0.22954,0.503327,0.59375,1546.0,27,16,1.113097,0.922278,0.19082,0.53759,0.202567,0.540825,0.90625,1711.0,430,1,-165.0,-0.077069,0.099457,-0.176526,0.026973,-0.037498,-0.019215,15,-0.3125,-403,-2475.0,27225.0,15,165.0,16,0.113751,0.091362,-0.019214,0.019214,162409,68.903125,1246,69.464844,-0.561719,0.561719,0.022389000000000103,0.031161428675999997,1237,16.47110740151548,0.1700775651366085,13.626202225740457,0.117904185454929,16.47110740151548,0.17007756513660857,13.626202225740457,0.11790418545492908
22,22,22,22,22,22,2003,1122,1257,0,1.026196,0.994244,0.031952,0.513721,0.223206,0.506617,0.740741,1599.0,54,13,1.12314,0.936007,0.187133,0.528861,0.182245,0.513787,0.8,1634.0,401,4,-35.0,-0.096944,0.058237,-0.155181,0.040961,-0.00717,-0.01514,9,-0.059259,-347,-315.0,1225.0,9,35.0,52,0.090189,0.128896,-0.01514,0.01514,120409,68.066667,1257,72.9225,-4.855833,4.855833,-0.038706999999999936,0.024081142761000002,1122,12.824255863851846,0.1635612883388708,14.99076343972338,0.1216318450276626,12.824255863851846,0.1635612883388708,14.99076343972338,0.12163184502766262
23,23,23,23,23,23,2003,1268,1423,1,1.091914,0.897738,0.194176,0.519593,0.191861,0.518841,0.678571,1582.0,390,6,1.074564,0.897224,0.17734,0.524089,0.171566,0.487017,0.8,1631.0,353,11,-49.0,0.01735,0.000514,0.016837,0.020295,0.031824,-0.004496,-5,-0.121429,37,-245.0,2401.0,5,49.0,66,0.19469,0.176826,-0.004496,0.004496,1369,73.960714,1423,66.545,7.415714,7.415714,0.01786399999999999,0.00028348456900000003,1268,20.01097582426088,0.1500702949581959,13.037567293001413,0.1348867421187207,20.010975824260882,0.15007029495819596,13.037567293001413,0.13488674211872076
24,24,24,24,24,24,2003,1160,1277,0,1.043758,0.985228,0.05853,0.486902,0.192624,0.536113,0.645161,1579.0,169,10,1.02732,0.934852,0.092468,0.501537,0.221739,0.543149,0.612903,1573.0,194,7,6.0,0.016438,0.050376,-0.033938,-0.029115,-0.007036,-0.014636,3,0.032258,-25,18.0,36.0,3,6.0,70,0.108906,0.042092,-0.014635,0.014635,625,72.208065,1277,65.479032,6.729032,6.729032,0.06681399999999993,0.0011517878440000001,1160,14.49100573845128,0.1615674106283987,14.111384864558792,0.1301101363449401,14.49100573845128,0.16156741062839874,14.111384864558792,0.13011013634494017
25,25,25,25,25,25,2003,1329,1335,1,1.003897,0.912078,0.091819,0.487691,0.213516,0.500768,0.689655,1578.0,189,6,1.096358,0.920685,0.175673,0.556716,0.202395,0.522642,0.814815,1628.0,291,11,-51.0,-0.092462,-0.008607,-0.083855,0.011121,-0.021874,-0.069025,-5,-0.12516,-102,-255.0,2601.0,5,51.0,66,0.083212,0.18428,-0.069025,0.069025,10404,68.303448,1335,64.10463,4.198819,4.198819,-0.10106799999999982,0.007031661025,1329,13.679026410779317,0.1378010036301364,14.6401275039985,0.1646876390084558,13.679026410779315,0.13780100363013645,14.6401275039985,0.16468763900845584
26,26,26,26,26,26,2003,1338,1447,1,1.09456,0.867438,0.227121,0.563549,0.221211,0.54676,0.866667,1670.0,473,2,1.085356,1.017115,0.06824,0.537862,0.213639,0.518652,0.677419,1577.0,127,15,94.0,0.009204,-0.149677,0.158881,0.007572,0.028108,0.025687,-13,0.189247,346,1222.0,8836.0,13,94.0,30,0.077445,0.217918,0.025687,-0.025687,119716,68.13,1447,69.808065,-1.678065,1.678065,-0.14047299999999996,0.025243172161,1338,14.426229304777566,0.114222975601621,12.302722838758577,0.1597518554501633,14.426229304777566,0.11422297560162105,12.302722838758577,0.15975185545016335
27,27,27,27,27,27,2003,1261,1345,0,1.081792,0.925503,0.15629,0.549305,0.204456,0.51922,0.677419,1590.0,320,8,1.023956,0.935636,0.088321,0.48139,0.19856,0.498962,0.642857,1562.0,182,9,28.0,0.057836,-0.010133,0.067969,0.005897,0.020259,0.067915,-1,0.034562,138,28.0,784.0,1,28.0,72,0.146156,0.098453,0.067915,-0.067915,19044,67.76129,1345,69.933929,-2.172638,2.172638,0.04770299999999994,0.004619784961,1261,18.17761828325188,0.1772485697767799,16.46657669790987,0.1551763326984181,18.17761828325188,0.1772485697767799,16.46657669790987,0.15517633269841818
28,28,28,28,28,28,2003,1264,1393,0,1.065138,0.941519,0.123619,0.50089,0.196459,0.495067,0.793103,1620.0,244,14,1.098001,0.967815,0.130186,0.515151,0.188974,0.518478,0.827586,1648.0,296,3,-28.0,-0.032862,-0.026296,-0.006566,0.007485,-0.023411,-0.014261,11,-0.034483,-52,-308.0,784.0,11,28.0,42,0.097323,0.156482,-0.014261,0.014261,2704,71.799138,1393,72.737069,-0.937931,0.937931,-0.05915900000000007,4.3112356e-05,1264,11.409636407689115,0.1197312342565982,14.183439312766009,0.1467767778310671,11.409636407689117,0.11973123425659826,14.183439312766007,0.14677677783106716
29,29,29,29,29,29,2003,1400,1421,1,1.110188,0.975622,0.134566,0.495827,0.190031,0.548648,0.785714,1632.0,285,1,1.011026,1.108901,-0.097876,0.4898,0.228101,0.491149,0.448276,1484.0,-210,16,148.0,0.099163,-0.133279,0.232442,-0.03807,0.057499,0.006027,-15,0.337438,495,2220.0,21904.0,15,148.0,16,0.001287,0.035404,0.006027,-0.006027,245025,70.976786,1421,70.666379,0.310406,0.310406,-0.03411699999999995,0.054029283364,1400,12.38294397901006,0.0784994141668818,17.50847789014101,0.1591226691360173,12.382943979010061,0.07849941416688187,17.50847789014101,0.15912266913601733
30,30,30,30,30,30,2003,1332,1428,0,1.086074,0.983936,0.102138,0.534387,0.200029,0.492983,0.71875,1594.0,264,8,1.069408,0.971966,0.097442,0.528505,0.204526,0.524447,0.766667,1622.0,202,9,-28.0,0.016666,0.01197,0.004697,-0.004496,-0.031464,0.005881,-1,-0.047917,62,-28.0,784.0,1,28.0,72,0.114108,0.085472,0.005882,-0.005882,3844,75.655469,1428,62.23,13.425469,13.425469,0.028636000000000106,2.2061808999999997e-05,1332,18.49149761027937,0.1397634946809878,11.452851875928284,0.1507424068302132,18.491497610279374,0.13976349468098787,11.452851875928284,0.15074240683021323
31,31,31,31,31,31,2003,1190,1448,0,1.022783,0.999654,0.023129,0.501414,0.240753,0.513463,0.62963,1561.0,60,15,1.117754,0.972252,0.145502,0.511972,0.213998,0.565114,0.827586,1642.0,313,2,-82.0,-0.094971,0.027402,-0.122373,0.026755,-0.051651,-0.010558,13,-0.197957,-253,-1066.0,6724.0,13,82.0,30,0.050531,0.1181,-0.010558,0.010558,64009,77.935185,1448,70.231034,7.704151,7.704151,-0.06756899999999988,0.014975151128999999,1190,11.232964309543904,0.135297260759295,16.253305840318035,0.1493704533897586,11.232964309543904,0.13529726075929505,16.253305840318035,0.14937045338975868
32,32,32,32,32,32,2003,1407,1462,0,1.08257,0.967788,0.114783,0.506314,0.186672,0.510381,0.833333,1637.0,264,14,1.117384,0.941334,0.17605,0.50861,0.186641,0.540165,0.833333,1653.0,368,3,-16.0,-0.034814,0.026454,-0.061267,3.1e-05,-0.029784,-0.002295,11,0.0,-104,-176.0,256.0,11,16.0,42,0.141236,0.149596,-0.002296,0.002296,10816,73.278333,1462,69.874167,3.404167,3.404167,-0.008359999999999923,0.003753645289,1407,14.84262268859052,0.1290293203653928,13.584812344555283,0.1603889337804187,14.84262268859052,0.12902932036539286,13.584812344555283,0.16038893378041877
33,33,33,33,33,33,2003,1112,1211,1,1.106236,0.917822,0.188414,0.517632,0.19013,0.541451,0.892857,1665.0,419,1,1.103974,0.973507,0.130467,0.536146,0.208051,0.542672,0.741935,1605.0,275,9,61.0,0.002262,-0.055685,0.057947,-0.017921,-0.001221,-0.018515,-8,0.150922,144,488.0,3721.0,8,61.0,9,0.132729,0.186152,-0.018514,0.018514,20736,77.196429,1211,69.770968,7.425461,7.425461,-0.053423,0.0033578548089999998,1112,12.556486129301616,0.1268162960174362,13.159893453175249,0.1264611490978829,12.556486129301616,0.12681629601743624,13.159893453175247,0.12646114909788297
34,34,34,34,34,34,2003,1163,1390,1,1.081883,0.973841,0.108042,0.524237,0.215606,0.533981,0.7,1595.0,259,5,1.053663,0.970755,0.082908,0.505835,0.208776,0.543405,0.741935,1613.0,164,4,-18.0,0.02822,0.003086,0.025134,0.006829,-0.009425,0.018402,1,-0.041935,95,-18.0,324.0,1,18.0,20,0.111128,0.079822,0.018402,-0.018402,9025,73.730833,1390,68.480645,5.250188,5.250188,0.031305999999999834,0.000631717956,1163,16.812317597181707,0.1420657538010433,11.267042050118558,0.1164886422478996,16.812317597181707,0.14206575380104333,11.267042050118558,0.11648864224789963
35,35,35,35,35,35,2003,1141,1181,0,1.095576,1.01383,0.081746,0.572835,0.252913,0.522031,0.793103,1629.0,177,11,1.111521,0.964937,0.146584,0.521745,0.190551,0.513407,0.8,1635.0,347,3,-5.0,-0.015945,0.048893,-0.064838,0.062362,0.008623,0.051091,8,-0.006897,-170,-40.0,25.0,8,5.0,33,0.130639,0.097691,0.05109,-0.05109,28900,72.301724,1181,73.931667,-1.629943,1.629943,0.03294800000000009,0.004203966244000001,1141,13.16745128713278,0.154851098354885,13.320151529979276,0.1078587897102386,13.167451287132781,0.15485109835488506,13.320151529979276,0.1078587897102386
36,36,36,36,36,36,2003,1113,1242,0,1.092311,0.987514,0.104796,0.517334,0.200649,0.539098,0.62069,1560.0,197,10,1.094314,0.901852,0.192462,0.525461,0.199952,0.545713,0.766667,1639.0,449,2,-80.0,-0.002003,0.085663,-0.087666,0.000696,-0.006615,-0.008127,8,-0.145977,-252,-640.0,6400.0,8,80.0,20,0.190459,0.1068,-0.008127,0.008127,63504,69.655172,1242,74.363333,-4.708161,4.708161,0.08365900000000004,0.007685327555999999,1113,17.188823840642225,0.1611425415278173,18.1326212672903,0.1487780278463774,17.188823840642225,0.16114254152781735,18.1326212672903,0.14877802784637748
37,37,37,37,37,37,2003,1266,1281,1,1.15249,0.995806,0.156683,0.536723,0.198637,0.548263,0.821429,1642.0,300,3,1.055602,0.967616,0.087986,0.507278,0.199342,0.51928,0.677419,1593.0,164,6,49.0,0.096888,0.028191,0.068697,-0.000705,0.028982,0.029445,-3,0.144009,136,147.0,2401.0,3,49.0,18,0.184874,0.059796,0.029445,-0.029445,18496,67.927679,1281,67.949194,-0.021515,0.021515,0.12507800000000002,0.004719277808999999,1266,12.91527130199876,0.1204181605469316,15.093472205751944,0.135835704857981,12.91527130199876,0.12041816054693166,15.093472205751945,0.135835704857981
38,38,38,38,38,38,2003,1228,1323,0,1.105311,0.906477,0.198834,0.551888,0.191445,0.520233,0.8,1639.0,421,4,1.097724,0.985736,0.111988,0.519416,0.175976,0.49926,0.709677,1587.0,276,5,52.0,0.007587,-0.079259,0.086846,0.015468,0.020973,0.032472,-1,0.090323,145,52.0,2704.0,1,52.0,20,0.119575,0.191247,0.032472,-0.032472,21025,68.305833,1323,72.912903,-4.60707,4.60707,-0.07167199999999996,0.007542227716000001,1228,14.963134775134872,0.1365766837464133,15.447448200721649,0.1303060269484505,14.963134775134872,0.13657668374641332,15.447448200721649,0.13030602694845056
39,39,39,39,39,39,2003,1143,1328,0,1.05227,0.987088,0.065182,0.524098,0.198374,0.510786,0.724138,1587.0,137,8,1.08854,0.919259,0.169281,0.512124,0.181566,0.530913,0.8,1653.0,330,1,-66.0,-0.03627,0.067829,-0.104099,0.016808,-0.020126,0.011974,7,-0.075862,-193,-462.0,4356.0,7,66.0,8,0.133011,0.101452,0.011974,-0.011974,37249,70.925862,1328,65.035,5.890862,5.890862,0.03155899999999989,0.010836601801,1143,10.66669232345026,0.0992481193529183,14.633452464626478,0.1570566359302258,10.66669232345026,0.09924811935291832,14.633452464626478,0.15705663593022587
