Season,TeamID,avgOffRtg,avgDefRtg,avgNetRtg,avgeFG,avgTOV,avgReb,AvgWin,PointsFor,PointsAgainst,Margin,Seed
2003,1129,0.9508,0.9645,-0.0137,0.459,0.2078,0.4822,0.4286,1845,1874,-29,20
2003,1130,1.1164,1.0768,0.0396,0.5205,0.1861,0.4969,0.6207,2310,2214,96,20
2003,1131,1.0247,0.9541,0.0706,0.4922,0.201,0.5148,0.6667,2043,1898,145,20
2003,1132,0.9794,1.0441,-0.0647,0.5076,0.2467,0.4779,0.4074,1795,1907,-112,20
2003,1133,1.0212,1.0192,0.002,0.4941,0.199,0.4963,0.3793,2097,2099,-2,20
2003,1135,1.045,1.0191,0.0259,0.5258,0.22,0.4922,0.6071,2071,2018,53,20
2003,1137,0.914,0.9325,-0.0185,0.4715,0.2485,0.5073,0.4643,1615,1661,-46,20
2003,1138,0.9529,1.074,-0.1211,0.451,0.2132,0.4996,0.1786,1815,2022,-207,20
2003,1139,1.1276,1.0062,0.1214,0.5621,0.1678,0.4807,0.8276,1989,1767,222,12
2003,1140,1.1068,0.9547,0.1521,0.5327,0.2097,0.5339,0.7419,2246,1974,272,12
2003,1141,1.0956,1.0138,0.0817,0.5728,0.2529,0.522,0.7931,2301,2124,177,11
2003,1142,0.9776,0.9885,-0.0109,0.4862,0.2286,0.4833,0.5172,1958,1983,-25,20
2003,1143,1.0523,0.9871,0.0652,0.5241,0.1984,0.5108,0.7241,2160,2023,137,8
2003,1144,0.9384,1.1376,-0.1992,0.5013,0.2328,0.4261,0.1538,1691,2034,-343,20
2003,1145,0.9959,1.0052,-0.0093,0.4906,0.2019,0.4915,0.3571,1967,1992,-25,20
2003,1147,1.0072,1.09,-0.0828,0.4931,0.2232,0.4562,0.4167,1743,1869,-126,20
2003,1148,1.0354,1.0383,-0.003,0.5168,0.2379,0.5351,0.5357,1891,1879,12,20
2003,1149,0.9722,0.975,-0.0028,0.4776,0.2186,0.4886,0.4615,1682,1716,-34,20
2003,1150,0.9939,1.018,-0.0241,0.4639,0.199,0.5062,0.4483,1985,2027,-42,20
2003,1151,1.1095,1.0488,0.0607,0.5478,0.2255,0.5283,0.6786,2235,2117,118,20
2003,1152,0.9274,1.1042,-0.1768,0.4772,0.2571,0.5003,0.1,1896,2249,-353,20
2003,1153,1.0273,0.9465,0.0808,0.4655,0.1597,0.5013,0.6071,1885,1722,163,8
2003,1154,0.9102,1.0376,-0.1274,0.4605,0.2357,0.4662,0.1667,1514,1713,-199,20
2003,1155,1.0378,1.0245,0.0133,0.4897,0.2038,0.5156,0.5357,1916,1907,9,20
2003,1156,0.9638,1.0716,-0.1078,0.5052,0.2515,0.4726,0.2667,1969,2196,-227,20
2003,1157,1.0028,1.0293,-0.0264,0.4938,0.2484,0.5293,0.4231,1749,1817,-68,20
2003,1158,1.038,0.9701,0.0679,0.516,0.1991,0.472,0.7586,2127,1991,136,20
2003,1159,0.9784,1.008,-0.0296,0.4948,0.2136,0.4906,0.4615,1713,1762,-49,20
2003,1160,1.0438,0.9852,0.0585,0.4869,0.1926,0.5361,0.6452,2341,2172,169,10
2003,1161,1.0722,1.0677,0.0045,0.5487,0.2341,0.5255,0.5667,2220,2180,40,14
2003,1162,0.8199,1.0177,-0.1978,0.4269,0.2803,0.4872,0.0741,1340,1676,-336,20
2003,1163,1.0819,0.9738,0.108,0.5242,0.2156,0.534,0.7,2401,2142,259,5
2003,1164,0.9478,1.0305,-0.0827,0.485,0.2437,0.49,0.3929,1625,1726,-101,20
2003,1165,0.9308,1.0418,-0.111,0.4936,0.2392,0.4788,0.3077,1558,1765,-207,20
2003,1166,1.1382,0.9309,0.2073,0.5675,0.1926,0.5148,0.8788,2615,2123,492,6
2003,1168,1.0093,1.0638,-0.0545,0.4885,0.2131,0.5102,0.3448,1825,1933,-108,20
2003,1169,1.0091,1.0191,-0.0101,0.503,0.245,0.5098,0.4643,1956,1958,-2,20
2003,1170,0.9242,1.0249,-0.1007,0.4652,0.2281,0.4653,0.3929,1832,2041,-209,20
2003,1171,0.9552,1.047,-0.0917,0.5001,0.2001,0.4393,0.2692,1540,1675,-135,20
2003,1172,1.0288,0.9858,0.043,0.5327,0.2523,0.5337,0.5833,1836,1777,59,20
2003,1173,1.1238,1.0243,0.0995,0.5224,0.2059,0.5398,0.8276,2111,1923,188,4
2003,1174,0.9725,0.9758,-0.0033,0.4679,0.1901,0.478,0.5172,1990,1981,9,20
2003,1175,1.0197,1.0207,-0.0011,0.5097,0.2247,0.4844,0.5556,1680,1690,-10,20
2003,1176,1.0203,0.9907,0.0296,0.4735,0.1908,0.5096,0.5312,2268,2210,58,20
2003,1177,1.02,0.9827,0.0372,0.4819,0.2205,0.5491,0.5714,1877,1798,79,20
2003,1178,1.089,1.0033,0.0857,0.5264,0.1826,0.5211,0.5862,2058,1885,173,20
2003,1179,0.9976,1.0797,-0.0822,0.5091,0.2234,0.5039,0.2857,1785,1946,-161,20
2003,1180,0.9987,0.9454,0.0533,0.485,0.1965,0.4969,0.6207,1990,1891,99,20
2003,1181,1.1115,0.9649,0.1466,0.5217,0.1906,0.5134,0.8,2459,2112,347,3
2003,1182,0.9478,1.0408,-0.093,0.5009,0.2671,0.4917,0.3,2001,2201,-200,20
2003,1183,1.0706,1.0836,-0.013,0.5046,0.1793,0.4862,0.4643,2162,2197,-35,20
2003,1184,1.0149,1.0978,-0.0829,0.4961,0.1999,0.4746,0.2917,1792,1935,-143,20
2003,1185,1.034,1.0787,-0.0447,0.5028,0.2047,0.4968,0.4615,1998,2074,-76,20
2003,1186,0.9991,0.948,0.0511,0.5143,0.2413,0.499,0.5862,2029,1922,107,20
2003,1187,0.9602,1.009,-0.0488,0.4423,0.1955,0.5118,0.4,1575,1648,-73,20
2003,1189,0.9471,1.0557,-0.1086,0.4702,0.244,0.5151,0.4,1560,1711,-151,20
2003,1190,1.0228,0.9997,0.0231,0.5014,0.2408,0.5135,0.6296,2152,2092,60,15
2003,1191,1.0395,1.0993,-0.0598,0.5424,0.2365,0.5039,0.4286,1960,2063,-103,20
2003,1192,1.0134,1.0409,-0.0276,0.5134,0.2028,0.4489,0.5172,2106,2153,-47,20
2003,1193,0.9886,0.964,0.0246,0.4834,0.2377,0.5229,0.6333,2119,2082,37,20
2003,1194,0.9207,1.0319,-0.1111,0.4452,0.2209,0.4721,0.2222,1865,2091,-226,20
2003,1196,1.1151,0.9542,0.1609,0.5546,0.1952,0.5104,0.7742,2353,2005,348,2
2003,1197,1.0259,1.0043,0.0216,0.5087,0.2481,0.5219,0.5862,2073,2081,-8,20
2003,1198,0.9248,1.0077,-0.0829,0.4441,0.2426,0.5201,0.25,1677,1819,-142,20
2003,1199,0.9693,0.9475,0.0218,0.4913,0.2117,0.4832,0.4828,1974,1930,44,20
2003,1200,0.9125,1.0986,-0.1861,0.4728,0.244,0.4623,0.0714,1810,2188,-378,20
2003,1201,1.0362,0.9687,0.0675,0.5055,0.2283,0.5379,0.7143,2006,1870,136,20
2003,1202,0.9738,1.0294,-0.0556,0.472,0.2204,0.5137,0.3929,1807,1924,-117,20
2003,1203,1.0296,1.0347,-0.0052,0.5002,0.2359,0.521,0.4138,2070,2085,-15,20
2003,1204,1.0316,1.0714,-0.0399,0.508,0.2175,0.5048,0.5,1965,2021,-56,20
2003,1205,0.9144,1.0116,-0.0973,0.4576,0.2221,0.4856,0.1429,1882,2097,-215,20
2003,1206,0.9638,0.9245,0.0393,0.4675,0.236,0.5377,0.5714,1794,1694,100,20
2003,1207,1.0082,0.934,0.0742,0.468,0.2109,0.512,0.5172,2213,2024,189,20
2003,1208,1.1239,1.0408,0.0831,0.5209,0.1633,0.5067,0.7037,2138,1976,162,20
2003,1209,1.033,1.0412,-0.0082,0.5099,0.2042,0.4872,0.4643,2050,2057,-7,20
2003,1210,1.0316,0.9792,0.0524,0.4959,0.2113,0.5227,0.5,2074,1949,125,20
2003,1211,1.104,0.9735,0.1305,0.5361,0.2081,0.5427,0.7419,2389,2114,275,9
2003,1212,0.9419,1.0731,-0.1311,0.4754,0.2146,0.4661,0.3571,1991,2259,-268,20
2003,1214,0.9989,0.9542,0.0447,0.5103,0.2487,0.5154,0.6333,2144,2064,80,20
2003,1216,0.9847,0.9808,0.0039,0.4658,0.2132,0.5161,0.5357,1806,1805,1,20
2003,1217,0.985,1.0005,-0.0155,0.4975,0.2359,0.5109,0.4231,1836,1892,-56,20
2003,1218,1.0193,0.9798,0.0395,0.5016,0.2153,0.513,0.6207,2025,1936,89,20
2003,1219,0.9789,1.0774,-0.0984,0.4938,0.2306,0.5006,0.2593,1850,2022,-172,20
2003,1220,0.927,1.0151,-0.0881,0.4684,0.2651,0.5421,0.2759,1859,2048,-189,20
2003,1221,1.0663,0.8801,0.1862,0.5105,0.2137,0.564,0.8621,2011,1688,323,14
2003,1222,0.8905,1.0023,-0.1118,0.4585,0.2628,0.51,0.2857,1631,1854,-223,20
2003,1224,1.0261,1.0246,0.0016,0.4887,0.2119,0.4961,0.4333,2196,2185,11,20
2003,1225,0.9663,0.9915,-0.0252,0.4626,0.2151,0.5066,0.4444,1671,1716,-45,20
2003,1226,0.9832,1.006,-0.0228,0.495,0.2067,0.4779,0.4815,1906,1922,-16,20
2003,1227,1.1097,0.9989,0.1108,0.5343,0.184,0.5359,0.7241,2188,1999,189,20
2003,1228,1.1053,0.9065,0.1988,0.5519,0.1914,0.5202,0.8,2263,1842,421,4
2003,1229,0.9768,1.0675,-0.0908,0.5027,0.2257,0.4918,0.2759,1873,2035,-162,20
2003,1231,1.0709,1.014,0.0569,0.5007,0.1741,0.5042,0.625,2257,2144,113,7
2003,1232,0.8943,1.0405,-0.1462,0.4387,0.2094,0.4631,0.2258,1749,2038,-289,20
2003,1233,1.0389,0.9909,0.048,0.5097,0.2112,0.4985,0.5862,2174,2073,101,20
2003,1234,1.0134,0.9833,0.0301,0.494,0.2192,0.5266,0.5357,1947,1868,79,20
2003,1235,1.0269,0.9747,0.0522,0.5075,0.1993,0.5225,0.5357,1971,1868,103,20
2003,1236,0.9559,1.0573,-0.1013,0.4944,0.2194,0.4699,0.3103,1977,2214,-237,20
2003,1237,1.036,1.0217,0.0143,0.5184,0.2295,0.5033,0.5938,2280,2253,27,16
2003,1238,0.9443,0.9869,-0.0426,0.4706,0.2131,0.4592,0.3571,1972,2085,-113,20
2003,1239,0.9418,1.0105,-0.0687,0.4791,0.2453,0.491,0.4286,1836,1956,-120,20
2003,1240,1.0607,1.0248,0.036,0.5217,0.2079,0.4922,0.6552,2175,2087,88,20
2003,1241,0.9795,1.0097,-0.0302,0.4856,0.2185,0.4858,0.4138,1929,1996,-67,20
2003,1242,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,2440,1991,449,2
2003,1243,1.0339,0.9773,0.0566,0.5094,0.1962,0.5195,0.4333,2089,1985,104,20
2003,1245,1.1283,1.0535,0.0749,0.5577,0.1887,0.5287,0.6897,2222,2083,139,20
2003,1246,1.1131,0.9223,0.1908,0.5376,0.2026,0.5408,0.9062,2481,2051,430,1
2003,1247,0.9897,1.0434,-0.0537,0.4558,0.2059,0.4897,0.4138,1981,2071,-90,20
2003,1248,1.0075,1.0507,-0.0432,0.5116,0.2128,0.4826,0.4074,1785,1864,-79,20
2003,1249,0.9394,0.9548,-0.0154,0.4828,0.258,0.5096,0.4615,1685,1714,-29,20
2003,1250,0.9813,0.9789,0.0023,0.4867,0.2157,0.5057,0.5385,1660,1659,1,20
2003,1251,0.931,0.9811,-0.0501,0.4578,0.2576,0.5002,0.4828,1900,2016,-116,20
2003,1252,1.0125,1.0899,-0.0775,0.5084,0.2245,0.4835,0.25,1845,1973,-128,20
2003,1253,0.9465,1.1234,-0.1769,0.4944,0.2548,0.4708,0.1538,1627,1940,-313,20
2003,1254,0.9939,1.06,-0.066,0.4817,0.2298,0.5276,0.3214,2102,2268,-166,20
2003,1256,0.9794,1.0535,-0.0741,0.4634,0.204,0.5039,0.4,1702,1810,-108,20
2003,1257,1.1231,0.936,0.1871,0.5289,0.1822,0.5138,0.8,2455,2054,401,4
2003,1258,0.9702,1.0311,-0.0609,0.4671,0.2198,0.4769,0.3667,2111,2209,-98,20
2003,1259,0.8823,1.0766,-0.1943,0.4499,0.2606,0.4794,0.1429,1653,2017,-364,20
2003,1260,1.0353,1.0384,-0.0032,0.4726,0.193,0.5036,0.4839,2309,2314,-5,20
2003,1261,1.0818,0.9255,0.1563,0.5493,0.2045,0.5192,0.6774,2270,1950,320,8
2003,1263,1.0082,1.002,0.0063,0.5429,0.2534,0.5165,0.4286,1987,1953,34,20
2003,1264,1.0651,0.9415,0.1236,0.5009,0.1965,0.4951,0.7931,2209,1965,244,14
2003,1265,1.0081,1.0411,-0.033,0.479,0.1882,0.4711,0.4483,2069,2150,-81,20
2003,1266,1.1525,0.9958,0.1567,0.5367,0.1986,0.5483,0.8214,2195,1895,300,3
2003,1267,1.0396,1.0365,0.003,0.5282,0.2081,0.4783,0.4643,2014,2017,-3,20
2003,1268,1.0919,0.8977,0.1942,0.5196,0.1919,0.5188,0.6786,2262,1872,390,6
2003,1269,0.9368,1.0169,-0.08,0.4861,0.242,0.4746,0.3571,1720,1874,-154,20
2003,1270,0.9964,1.0014,-0.0049,0.5014,0.2431,0.5103,0.4815,1850,1892,-42,20
2003,1271,0.9497,1.0639,-0.1142,0.4575,0.2263,0.4722,0.1786,1760,2000,-240,20
2003,1272,1.0549,0.934,0.1209,0.4983,0.1941,0.5284,0.7931,2161,1909,252,7
2003,1273,1.0842,1.0172,0.067,0.5301,0.2277,0.541,0.7857,2186,2042,144,20
2003,1274,0.9822,0.9742,0.0079,0.4786,0.2337,0.5108,0.3929,1956,1924,32,20
2003,1275,1.0008,1.0112,-0.0104,0.4861,0.1971,0.4862,0.4444,1576,1604,-28,20
2003,1276,1.0364,1.0118,0.0246,0.4927,0.2105,0.5178,0.5667,2070,2018,52,20
2003,1277,1.0273,0.9349,0.0925,0.5015,0.2217,0.5431,0.6129,2084,1890,194,7
2003,1278,1.0343,0.9991,0.0352,0.5003,0.212,0.5033,0.5714,2084,2010,74,20
2003,1279,1.0477,1.0008,0.0469,0.5176,0.2133,0.5041,0.4828,1933,1846,87,20
2003,1280,1.0437,0.9056,0.1381,0.5214,0.2321,0.5435,0.7,2105,1805,300,5
2003,1281,1.0556,0.9676,0.088,0.5073,0.1993,0.5193,0.6774,2225,2061,164,6
2003,1282,1.0179,1.1154,-0.0975,0.4904,0.1865,0.4617,0.3103,1968,2182,-214,20
2003,1283,1.0142,0.9326,0.0816,0.4768,0.2052,0.5252,0.5862,1931,1782,149,20
2003,1284,0.9512,0.9685,-0.0173,0.4917,0.2149,0.471,0.5357,1848,1878,-30,20
2003,1285,1.0186,1.047,-0.0284,0.5028,0.2023,0.4863,0.4286,1952,2006,-54,20
2003,1286,0.9781,1.0216,-0.0435,0.4954,0.2176,0.476,0.36,1575,1637,-62,20
2003,1287,1.1267,1.0594,0.0674,0.5475,0.1979,0.5056,0.6538,2067,1959,108,20
2003,1288,0.9698,1.0839,-0.1141,0.4609,0.2236,0.4898,0.2414,1977,2212,-235,20
2003,1289,0.8654,1.0749,-0.2095,0.4409,0.2507,0.4585,0.1667,1446,1807,-361,20
2003,1290,1.0863,1.0642,0.0221,0.4755,0.1642,0.4906,0.5185,2051,2012,39,20
2003,1291,0.937,1.0279,-0.091,0.4485,0.221,0.4695,0.4074,1715,1881,-166,20
2003,1292,1.0105,1.0116,-0.0011,0.5227,0.2355,0.5154,0.5,1913,1911,2,20
2003,1293,1.0863,1.025,0.0613,0.5156,0.1996,0.54,0.5556,2021,1878,143,20
2003,1296,1.0297,1.0329,-0.0033,0.5205,0.2503,0.5308,0.5484,2158,2164,-6,20
2003,1298,0.901,1.0065,-0.1055,0.4704,0.2613,0.4956,0.2692,1555,1720,-165,20
2003,1299,0.8648,1.136,-0.2712,0.4456,0.2448,0.4506,0.0385,1582,2097,-515,20
2003,1301,1.072,1.0103,0.0618,0.5342,0.2099,0.501,0.6,2172,2040,132,9
2003,1304,0.9177,0.985,-0.0673,0.4405,0.2079,0.4932,0.3793,1839,1990,-151,20
2003,1305,1.0709,1.0034,0.0675,0.4886,0.1798,0.5153,0.5667,2289,2155,134,20
2003,1306,0.9296,1.094,-0.1644,0.4667,0.2295,0.4766,0.1786,1834,2168,-334,20
2003,1307,1.0403,1.109,-0.0686,0.4913,0.1785,0.4752,0.3333,1879,2002,-123,20
2003,1308,1.064,0.9805,0.0834,0.4981,0.1952,0.5056,0.6786,2047,1890,157,20
2003,1309,1.0067,1.0256,-0.0189,0.492,0.2408,0.5305,0.4815,1877,1895,-18,20
2003,1310,1.0764,1.0753,0.0011,0.5104,0.2103,0.521,0.5862,2163,2170,-7,20
2003,1311,0.833,1.0845,-0.2515,0.4411,0.2747,0.4641,0.0741,1442,1880,-438,20
2003,1313,0.9278,0.9538,-0.026,0.4693,0.2478,0.4981,0.4828,1826,1884,-58,20
2003,1314,1.0004,0.9935,0.0069,0.4997,0.2106,0.4741,0.5312,2277,2267,10,20
2003,1317,0.9474,1.0893,-0.1419,0.4727,0.2371,0.4802,0.1923,1795,2064,-269,20
2003,1318,0.9935,1.005,-0.0116,0.4821,0.2081,0.4895,0.4828,2093,2101,-8,20
2003,1319,1.0008,0.9994,0.0014,0.5276,0.2299,0.5029,0.5,1864,1874,-10,20
2003,1320,1.011,1.0586,-0.0476,0.5244,0.2054,0.4769,0.3704,1759,1855,-96,20
2003,1321,1.0088,1.0561,-0.0474,0.501,0.2062,0.4577,0.4138,1816,1905,-89,20
2003,1322,0.864,0.9749,-0.1109,0.4281,0.2567,0.4934,0.2222,1682,1917,-235,20
2003,1323,1.0977,0.9857,0.112,0.5194,0.176,0.4993,0.7097,2483,2207,276,5
2003,1324,1.0721,1.0322,0.0399,0.5111,0.1934,0.5131,0.5769,2012,1943,69,20
2003,1325,1.0224,1.0839,-0.0615,0.5169,0.2156,0.4859,0.4667,2139,2240,-101,20
2003,1326,0.9792,0.9824,-0.0032,0.4594,0.2112,0.5181,0.5484,1997,1998,-1,20
2003,1328,1.0885,0.9193,0.1693,0.5121,0.1816,0.5309,0.8,2135,1805,330,1
2003,1329,1.0039,0.9121,0.0918,0.4877,0.2135,0.5008,0.6897,1993,1804,189,6
2003,1330,0.9981,0.9515,0.0467,0.4575,0.1987,0.5266,0.4444,1799,1744,55,20
2003,1331,1.0783,1.0003,0.078,0.5145,0.2033,0.5105,0.6296,2057,1899,158,20
2003,1332,1.0861,0.9839,0.1021,0.5344,0.2,0.493,0.7188,2631,2367,264,8
2003,1333,0.9631,0.9977,-0.0346,0.4601,0.1944,0.4957,0.4444,1822,1876,-54,20
2003,1334,0.9841,0.9982,-0.0141,0.4769,0.1996,0.4827,0.4286,1846,1848,-2,20
2003,1335,1.0964,0.9207,0.1757,0.5567,0.2024,0.5226,0.8148,1895,1604,291,11
2003,1336,0.9221,1.0738,-0.1517,0.4602,0.2315,0.4755,0.25,1766,2040,-274,20
2003,1337,1.0782,1.0773,0.0009,0.5263,0.1782,0.4746,0.5357,2195,2204,-9,20
2003,1338,1.0946,0.8674,0.2271,0.5635,0.2212,0.5468,0.8667,2238,1765,473,2
2003,1339,0.9625,1.0304,-0.0679,0.4781,0.2001,0.4267,0.3704,1826,1978,-152,20
2003,1340,0.8548,0.9864,-0.1316,0.4451,0.2688,0.5042,0.16,1426,1652,-226,20
2003,1341,0.9891,0.9945,-0.0054,0.4818,0.2058,0.4972,0.5862,2042,2073,-31,20
2003,1343,1.0699,1.0271,0.0428,0.5475,0.1916,0.4908,0.5769,1696,1621,75,20
2003,1344,1.0422,0.9875,0.0547,0.4917,0.2063,0.4962,0.5517,2090,1982,108,20
2003,1345,1.024,0.9356,0.0883,0.4814,0.1986,0.499,0.6429,2009,1827,182,9
2003,1346,1.0291,1.01,0.0191,0.51,0.2133,0.493,0.5714,2081,2062,19,20
2003,1347,0.9029,1.0482,-0.1453,0.4277,0.2039,0.4617,0.3333,1893,2200,-307,20
2003,1348,0.9908,0.9845,0.0063,0.446,0.1929,0.5076,0.6207,2049,2037,12,20
2003,1349,1.0308,0.996,0.0349,0.5216,0.2321,0.5055,0.6296,1967,1902,65,20
2003,1350,1.0084,0.9591,0.0493,0.4806,0.1875,0.481,0.5357,1840,1744,96,20
2003,1351,0.9943,1.0181,-0.0237,0.4814,0.1978,0.4818,0.4286,1875,1920,-45,20
2003,1352,1.0672,1.1149,-0.0477,0.5405,0.2024,0.4737,0.3462,1844,1942,-98,20
2003,1353,0.9649,0.9772,-0.0124,0.4522,0.1933,0.4851,0.4286,1894,1932,-38,20
2003,1354,0.9985,0.9796,0.0189,0.508,0.2652,0.5133,0.6667,2184,2138,46,16
2003,1356,1.0858,1.0001,0.0857,0.5261,0.1805,0.4933,0.8,2236,2043,193,11
2003,1357,0.9552,1.0666,-0.1114,0.4675,0.2091,0.4643,0.25,1930,2167,-237,20
2003,1358,1.036,0.9339,0.1021,0.5203,0.2247,0.5105,0.7778,1938,1762,176,15
2003,1359,1.0142,1.0389,-0.0247,0.5701,0.2384,0.4914,0.4444,1703,1752,-49,20
2003,1360,1.0285,0.9831,0.0454,0.5377,0.249,0.5345,0.6071,2091,2004,87,13
2003,1361,1.0609,1.0463,0.0146,0.5206,0.2197,0.5392,0.5185,1943,1911,32,20
2003,1362,1.0628,1.0529,0.0098,0.5285,0.2051,0.4995,0.5,1945,1927,18,20
2003,1363,0.9429,1.0706,-0.1277,0.4544,0.2023,0.4696,0.1923,1673,1908,-235,20
2003,1364,1.0525,0.9714,0.0812,0.5158,0.1997,0.4947,0.5806,2004,1864,140,20
2003,1365,0.9712,1.039,-0.0678,0.4795,0.2287,0.5222,0.4444,1734,1855,-121,20
2003,1366,0.8165,1.0306,-0.2142,0.407,0.2593,0.4685,0.1111,1664,2122,-458,20
2003,1368,0.9461,1.0172,-0.0711,0.4545,0.2009,0.4677,0.36,1604,1738,-134,20
2003,1369,1.0321,1.1072,-0.075,0.5195,0.1961,0.4834,0.3214,1979,2124,-145,20
2003,1371,0.9856,0.9581,0.0275,0.4759,0.2162,0.512,0.5862,1969,1924,45,20
2003,1372,1.0699,0.9725,0.0974,0.5259,0.2039,0.4913,0.7037,1902,1720,182,20
2003,1373,1.046,0.9913,0.0547,0.4884,0.2218,0.5439,0.6552,2182,2051,131,20
2003,1374,1.0103,1.0082,0.0021,0.4858,0.2205,0.5038,0.5667,2185,2185,0,20
2003,1375,1.0305,1.0488,-0.0183,0.4984,0.1866,0.4549,0.4615,1829,1857,-28,20
2003,1376,0.9688,0.9978,-0.029,0.4706,0.1945,0.4728,0.4286,1839,1883,-44,20
2003,1378,0.9798,0.9785,0.0013,0.485,0.216,0.4949,0.5,1902,1911,-9,20
2003,1379,0.9482,0.9995,-0.0514,0.4494,0.2179,0.5103,0.4483,1939,2033,-94,20
2003,1380,0.9347,1.0045,-0.0698,0.4508,0.2157,0.4833,0.2593,1815,1931,-116,20
2003,1381,1.0121,1.1063,-0.0942,0.5299,0.2264,0.4626,0.3462,1739,1890,-151,20
2003,1382,1.0767,1.0622,0.0145,0.5013,0.1674,0.4665,0.4815,2146,2109,37,20
2003,1383,1.0276,1.037,-0.0094,0.5251,0.241,0.4965,0.4667,2281,2281,0,20
2003,1384,0.9616,0.9891,-0.0275,0.4923,0.2199,0.4733,0.5,1912,1955,-43,20
2003,1385,1.0317,0.9993,0.0325,0.4554,0.1854,0.5067,0.5517,2070,2017,53,20
2003,1386,1.0705,0.8939,0.1765,0.5208,0.1962,0.5008,0.7931,2048,1719,329,7
2003,1387,1.0016,0.9911,0.0105,0.4967,0.1795,0.474,0.5517,1769,1760,9,20
2003,1388,0.9787,0.9572,0.0215,0.5006,0.2495,0.5144,0.4828,1923,1891,32,20
2003,1389,1.0007,1.0632,-0.0625,0.4765,0.2031,0.4826,0.3448,2132,2264,-132,20
2003,1390,1.0537,0.9708,0.0829,0.5058,0.2088,0.5434,0.7419,2240,2076,164,4
2003,1391,0.9703,1.0986,-0.1283,0.4406,0.198,0.4701,0.2308,1856,2107,-251,20
2003,1392,0.9647,1.01,-0.0453,0.4835,0.2369,0.4913,0.4231,1671,1754,-83,20
2003,1393,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,2323,2027,296,3
2003,1394,0.9957,1.0498,-0.0541,0.4843,0.2238,0.499,0.4231,1952,2074,-122,20
2003,1395,1.0132,1.0755,-0.0623,0.4856,0.2025,0.4951,0.3214,2146,2252,-106,20
2003,1396,1.0403,1.0484,-0.008,0.4728,0.1559,0.4858,0.5,2002,2010,-8,20
2003,1397,1.0432,1.0025,0.0407,0.5202,0.2284,0.5399,0.6071,1920,1852,68,20
2003,1398,0.931,1.1861,-0.2552,0.4806,0.2199,0.4332,0.04,1805,2307,-502,20
2003,1399,1.0413,0.9911,0.0502,0.5255,0.2487,0.5405,0.5862,2134,2026,108,20
2003,1400,1.1102,0.9756,0.1346,0.4958,0.19,0.5486,0.7857,2208,1923,285,1
2003,1401,0.9852,1.005,-0.0199,0.4906,0.2029,0.4805,0.5,2015,2050,-35,20
