Season,TeamA,TeamB,Target,avgOffRtg_TeamA,avgDefRtg_TeamA,avgNetRtg_TeamA,avgeFG_TeamA,avgTOV_TeamA,avgReb_TeamA,AvgWin_TeamA,Margin_TeamA,Seed_TeamA,avgOffRtg_TeamB,avgDefRtg_TeamB,avgNetRtg_TeamB,avgeFG_TeamB,avgTOV_TeamB,avgReb_TeamB,AvgWin_TeamB,Margin_TeamB,Seed_TeamB,OffRtgDIff,DefRtgDiff,NetRtgDiff,eFGDiff,SeedDiff
2003,1281,1356,1,1.0556,0.9676,0.088,0.5073,0.1993,0.5193,0.6774,164,6,1.0858,1.0001,0.0857,0.5261,0.1805,0.4933,0.8,193,11,-0.0302,-0.0325,0.0023,-0.0188,-5
2003,1323,1454,1,1.0977,0.9857,0.112,0.5194,0.176,0.4993,0.7097,276,5,1.0837,0.9789,0.1048,0.5426,0.21,0.5064,0.7667,215,12,0.014,0.0068,0.0072,-0.0232,-7
2003,1328,1354,1,1.0885,0.9193,0.1693,0.5121,0.1816,0.5309,0.8,330,1,0.9985,0.9796,0.0189,0.508,0.2652,0.5133,0.6667,46,16,0.0901,-0.0603,0.1504,0.0041,-15
2003,1360,1390,0,1.0285,0.9831,0.0454,0.5377,0.249,0.5345,0.6071,87,13,1.0537,0.9708,0.0829,0.5058,0.2088,0.5434,0.7419,164,4,-0.0252,0.0124,-0.0376,0.0318,9
2003,1173,1409,0,1.1238,1.0243,0.0995,0.5224,0.2059,0.5398,0.8276,188,4,1.0581,0.9378,0.1203,0.5198,0.2061,0.5118,0.7097,256,13,0.0657,0.0865,-0.0207,0.0026,-9
2003,1451,1458,0,1.1081,0.9966,0.1115,0.5239,0.185,0.5109,0.8621,204,12,1.1167,0.926,0.1907,0.5257,0.1662,0.5233,0.7586,349,5,-0.0086,0.0706,-0.0792,-0.0018,7
2003,1120,1386,1,1.0264,0.966,0.0605,0.5211,0.2341,0.51,0.6333,136,10,1.0705,0.8939,0.1765,0.5208,0.1962,0.5008,0.7931,329,7,-0.0441,0.072,-0.1161,0.0003,3
2003,1139,1280,1,1.1276,1.0062,0.1214,0.5621,0.1678,0.4807,0.8276,222,12,1.0437,0.9056,0.1381,0.5214,0.2321,0.5435,0.7,300,5,0.0839,0.1006,-0.0167,0.0408,7
2003,1196,1358,1,1.1151,0.9542,0.1609,0.5546,0.1952,0.5104,0.7742,348,2,1.036,0.9339,0.1021,0.5203,0.2247,0.5105,0.7778,176,15,0.0791,0.0204,0.0588,0.0343,-13
2003,1104,1231,0,1.0337,0.9806,0.0531,0.4758,0.1991,0.5265,0.6071,120,10,1.0709,1.014,0.0569,0.5007,0.1741,0.5042,0.625,113,7,-0.0372,-0.0335,-0.0037,-0.0249,3
2003,1237,1246,0,1.036,1.0217,0.0143,0.5184,0.2295,0.5033,0.5938,27,16,1.1131,0.9223,0.1908,0.5376,0.2026,0.5408,0.9062,430,1,-0.0771,0.0995,-0.1765,-0.0192,15
2003,1122,1257,0,1.0262,0.9942,0.032,0.5137,0.2232,0.5066,0.7407,54,13,1.1231,0.936,0.1871,0.5289,0.1822,0.5138,0.8,401,4,-0.0969,0.0582,-0.1552,-0.0151,9
2003,1268,1423,1,1.0919,0.8977,0.1942,0.5196,0.1919,0.5188,0.6786,390,6,1.0746,0.8972,0.1773,0.5241,0.1716,0.487,0.8,353,11,0.0174,0.0005,0.0168,-0.0045,-5
2003,1160,1277,0,1.0438,0.9852,0.0585,0.4869,0.1926,0.5361,0.6452,169,10,1.0273,0.9349,0.0925,0.5015,0.2217,0.5431,0.6129,194,7,0.0164,0.0504,-0.0339,-0.0146,3
2003,1329,1335,1,1.0039,0.9121,0.0918,0.4877,0.2135,0.5008,0.6897,189,6,1.0964,0.9207,0.1757,0.5567,0.2024,0.5226,0.8148,291,11,-0.0925,-0.0086,-0.0839,-0.069,-5
2003,1338,1447,1,1.0946,0.8674,0.2271,0.5635,0.2212,0.5468,0.8667,473,2,1.0854,1.0171,0.0682,0.5379,0.2136,0.5187,0.6774,127,15,0.0092,-0.1497,0.1589,0.0257,-13
2003,1261,1345,0,1.0818,0.9255,0.1563,0.5493,0.2045,0.5192,0.6774,320,8,1.024,0.9356,0.0883,0.4814,0.1986,0.499,0.6429,182,9,0.0578,-0.0101,0.068,0.0679,-1
2003,1264,1393,0,1.0651,0.9415,0.1236,0.5009,0.1965,0.4951,0.7931,244,14,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,296,3,-0.0329,-0.0263,-0.0066,-0.0143,11
2003,1400,1421,1,1.1102,0.9756,0.1346,0.4958,0.19,0.5486,0.7857,285,1,1.011,1.1089,-0.0979,0.4898,0.2281,0.4911,0.4483,-210,16,0.0992,-0.1333,0.2324,0.006,-15
2003,1332,1428,0,1.0861,0.9839,0.1021,0.5344,0.2,0.493,0.7188,264,8,1.0694,0.972,0.0974,0.5285,0.2045,0.5244,0.7667,202,9,0.0167,0.012,0.0047,0.0059,-1
2003,1190,1448,0,1.0228,0.9997,0.0231,0.5014,0.2408,0.5135,0.6296,60,15,1.1178,0.9723,0.1455,0.512,0.214,0.5651,0.8276,313,2,-0.095,0.0274,-0.1224,-0.0106,13
2003,1407,1462,0,1.0826,0.9678,0.1148,0.5063,0.1867,0.5104,0.8333,264,14,1.1174,0.9413,0.1761,0.5086,0.1866,0.5402,0.8333,368,3,-0.0348,0.0265,-0.0613,-0.0023,11
2003,1112,1211,1,1.1062,0.9178,0.1884,0.5176,0.1901,0.5415,0.8929,419,1,1.104,0.9735,0.1305,0.5361,0.2081,0.5427,0.7419,275,9,0.0023,-0.0557,0.0579,-0.0185,-8
2003,1163,1390,1,1.0819,0.9738,0.108,0.5242,0.2156,0.534,0.7,259,5,1.0537,0.9708,0.0829,0.5058,0.2088,0.5434,0.7419,164,4,0.0282,0.0031,0.0251,0.0184,1
2003,1141,1181,0,1.0956,1.0138,0.0817,0.5728,0.2529,0.522,0.7931,177,11,1.1115,0.9649,0.1466,0.5217,0.1906,0.5134,0.8,347,3,-0.0159,0.0489,-0.0648,0.0511,8
2003,1113,1242,0,1.0923,0.9875,0.1048,0.5173,0.2006,0.5391,0.6207,197,10,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,449,2,-0.002,0.0857,-0.0877,-0.0081,8
2003,1266,1281,1,1.1525,0.9958,0.1567,0.5367,0.1986,0.5483,0.8214,300,3,1.0556,0.9676,0.088,0.5073,0.1993,0.5193,0.6774,164,6,0.0969,0.0282,0.0687,0.0294,-3
2003,1228,1323,0,1.1053,0.9065,0.1988,0.5519,0.1914,0.5202,0.8,421,4,1.0977,0.9857,0.112,0.5194,0.176,0.4993,0.7097,276,5,0.0076,-0.0793,0.0868,0.0325,-1
2003,1143,1328,0,1.0523,0.9871,0.0652,0.5241,0.1984,0.5108,0.7241,137,8,1.0885,0.9193,0.1693,0.5121,0.1816,0.5309,0.8,330,1,-0.0363,0.0678,-0.1041,0.012,7
2003,1409,1458,0,1.0581,0.9378,0.1203,0.5198,0.2061,0.5118,0.7097,256,13,1.1167,0.926,0.1907,0.5257,0.1662,0.5233,0.7586,349,5,-0.0586,0.0118,-0.0705,-0.0059,8
2003,1120,1448,1,1.0264,0.966,0.0605,0.5211,0.2341,0.51,0.6333,136,10,1.1178,0.9723,0.1455,0.512,0.214,0.5651,0.8276,313,2,-0.0913,-0.0063,-0.085,0.0091,8
2003,1139,1257,1,1.1276,1.0062,0.1214,0.5621,0.1678,0.4807,0.8276,222,12,1.1231,0.936,0.1871,0.5289,0.1822,0.5138,0.8,401,4,0.0045,0.0702,-0.0658,0.0333,8
2003,1246,1428,1,1.1131,0.9223,0.1908,0.5376,0.2026,0.5408,0.9062,430,1,1.0694,0.972,0.0974,0.5285,0.2045,0.5244,0.7667,202,9,0.0437,-0.0497,0.0934,0.0091,-8
2003,1268,1462,1,1.0919,0.8977,0.1942,0.5196,0.1919,0.5188,0.6786,390,6,1.1174,0.9413,0.1761,0.5086,0.1866,0.5402,0.8333,368,3,-0.0255,-0.0436,0.0181,0.011,3
2003,1196,1277,0,1.1151,0.9542,0.1609,0.5546,0.1952,0.5104,0.7742,348,2,1.0273,0.9349,0.0925,0.5015,0.2217,0.5431,0.6129,194,7,0.0878,0.0194,0.0684,0.053,-5
2003,1231,1338,0,1.0709,1.014,0.0569,0.5007,0.1741,0.5042,0.625,113,7,1.0946,0.8674,0.2271,0.5635,0.2212,0.5468,0.8667,473,2,-0.0236,0.1466,-0.1702,-0.0628,5
2003,1329,1393,0,1.0039,0.9121,0.0918,0.4877,0.2135,0.5008,0.6897,189,6,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,296,3,-0.0941,-0.0557,-0.0384,-0.0275,3
2003,1345,1400,0,1.024,0.9356,0.0883,0.4814,0.1986,0.499,0.6429,182,9,1.1102,0.9756,0.1346,0.4958,0.19,0.5486,0.7857,285,1,-0.0862,-0.04,-0.0462,-0.0144,8
2003,1112,1323,1,1.1062,0.9178,0.1884,0.5176,0.1901,0.5415,0.8929,419,1,1.0977,0.9857,0.112,0.5194,0.176,0.4993,0.7097,276,5,0.0085,-0.0679,0.0764,-0.0018,-4
2003,1181,1242,0,1.1115,0.9649,0.1466,0.5217,0.1906,0.5134,0.8,347,3,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,449,2,0.0172,0.0631,-0.0459,-0.0037,1
2003,1246,1458,1,1.1131,0.9223,0.1908,0.5376,0.2026,0.5408,0.9062,430,1,1.1167,0.926,0.1907,0.5257,0.1662,0.5233,0.7586,349,5,-0.0036,-0.0037,0.0001,0.0119,-4
2003,1266,1338,1,1.1525,0.9958,0.1567,0.5367,0.1986,0.5483,0.8214,300,3,1.0946,0.8674,0.2271,0.5635,0.2212,0.5468,0.8667,473,2,0.0579,0.1284,-0.0704,-0.0268,1
2003,1268,1277,0,1.0919,0.8977,0.1942,0.5196,0.1919,0.5188,0.6786,390,6,1.0273,0.9349,0.0925,0.5015,0.2217,0.5431,0.6129,194,7,0.0646,-0.0371,0.1017,0.0181,-1
2003,1139,1328,0,1.1276,1.0062,0.1214,0.5621,0.1678,0.4807,0.8276,222,12,1.0885,0.9193,0.1693,0.5121,0.1816,0.5309,0.8,330,1,0.0391,0.087,-0.0479,0.05,11
2003,1120,1393,0,1.0264,0.966,0.0605,0.5211,0.2341,0.51,0.6333,136,10,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,296,3,-0.0716,-0.0019,-0.0697,0.0059,7
2003,1163,1400,0,1.0819,0.9738,0.108,0.5242,0.2156,0.534,0.7,259,5,1.1102,0.9756,0.1346,0.4958,0.19,0.5486,0.7857,285,1,-0.0283,-0.0018,-0.0265,0.0284,4
2003,1112,1242,0,1.1062,0.9178,0.1884,0.5176,0.1901,0.5415,0.8929,419,1,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,449,2,0.0119,0.016,-0.004,-0.0078,-1
2003,1246,1266,0,1.1131,0.9223,0.1908,0.5376,0.2026,0.5408,0.9062,430,1,1.1525,0.9958,0.1567,0.5367,0.1986,0.5483,0.8214,300,3,-0.0394,-0.0735,0.0341,0.0009,-2
2003,1328,1393,0,1.0885,0.9193,0.1693,0.5121,0.1816,0.5309,0.8,330,1,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,296,3,-0.0095,-0.0486,0.0391,-0.003,-2
2003,1277,1400,0,1.0273,0.9349,0.0925,0.5015,0.2217,0.5431,0.6129,194,7,1.1102,0.9756,0.1346,0.4958,0.19,0.5486,0.7857,285,1,-0.0829,-0.0408,-0.0421,0.0057,6
2003,1242,1266,1,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,449,2,1.1525,0.9958,0.1567,0.5367,0.1986,0.5483,0.8214,300,3,-0.0582,-0.094,0.0358,-0.0113,-1
2003,1393,1400,1,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,296,3,1.1102,0.9756,0.1346,0.4958,0.19,0.5486,0.7857,285,1,-0.0122,-0.0078,-0.0044,0.0193,2
2003,1242,1393,0,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,449,2,1.098,0.9678,0.1302,0.5152,0.189,0.5185,0.8276,296,3,-0.0037,-0.066,0.0623,0.0103,-1
2004,1197,1250,1,0.9935,1.0052,-0.0117,0.4956,0.2311,0.4779,0.4667,-56,16,0.9889,0.9528,0.0361,0.4849,0.2186,0.51,0.6429,61,16,0.0046,0.0523,-0.0477,0.0107,0
2004,1104,1356,1,1.0686,1.0056,0.0629,0.5172,0.1985,0.5127,0.5862,138,8,1.0685,0.9389,0.1297,0.4961,0.1805,0.5082,0.8621,243,9,0.0,0.0668,-0.0667,0.021,-1
2004,1163,1436,1,1.116,0.9091,0.207,0.5317,0.1946,0.559,0.8182,500,2,1.013,0.9509,0.0621,0.485,0.1919,0.5216,0.7333,129,15,0.103,-0.0418,0.1448,0.0466,-13
2004,1173,1177,0,1.0542,0.9982,0.056,0.5183,0.2212,0.5532,0.75,124,10,1.0818,1.0284,0.0533,0.5194,0.2024,0.5371,0.7,96,7,-0.0275,-0.0302,0.0027,-0.0011,3
2004,1106,1181,0,0.9532,0.9339,0.0193,0.4828,0.2625,0.5263,0.5333,25,16,1.132,0.9162,0.2159,0.5351,0.2008,0.5163,0.8438,473,1,-0.1789,0.0177,-0.1966,-0.0522,15
2004,1211,1434,1,1.1866,0.9441,0.2424,0.5784,0.1949,0.5613,0.931,476,2,1.0093,0.993,0.0163,0.4959,0.2257,0.5185,0.5862,24,15,0.1772,-0.0489,0.2262,0.0825,-13
2004,1196,1264,0,1.1083,1.0116,0.0966,0.5574,0.2087,0.5089,0.6667,235,5,1.0847,0.9282,0.1566,0.4946,0.1898,0.5101,0.8276,316,12,0.0235,0.0835,-0.0599,0.0629,-7
2004,1268,1431,1,1.0299,0.9603,0.0696,0.4841,0.2009,0.5144,0.6333,168,4,1.0876,0.9642,0.1234,0.5271,0.1963,0.4999,0.7586,239,13,-0.0577,-0.0039,-0.0538,-0.043,-9
2004,1277,1305,0,1.0972,1.037,0.0602,0.5642,0.2237,0.515,0.6207,119,7,1.0829,0.9452,0.1377,0.4985,0.1859,0.5394,0.7333,280,10,0.0143,0.0918,-0.0775,0.0657,-3
2004,1102,1314,0,1.1094,0.9207,0.1887,0.5868,0.1997,0.4369,0.7857,273,11,1.0822,0.9883,0.0939,0.5162,0.2064,0.5264,0.6429,213,6,0.0272,-0.0676,0.0948,0.0706,5
2004,1112,1371,0,1.1468,1.0334,0.1134,0.5431,0.1959,0.5291,0.6897,264,9,1.0692,0.9494,0.1198,0.5156,0.1941,0.5194,0.6786,219,8,0.0777,0.084,-0.0064,0.0275,1
2004,1251,1386,0,0.9866,0.9577,0.0289,0.4812,0.2266,0.5147,0.5484,54,16,1.1427,0.9037,0.239,0.569,0.1713,0.4725,0.9643,456,1,-0.1561,0.054,-0.2101,-0.0879,15
2004,1390,1427,1,1.096,0.9043,0.1917,0.5327,0.206,0.5512,0.9667,397,1,0.993,1.0071,-0.0141,0.4945,0.2362,0.5004,0.5714,-6,16,0.103,-0.1029,0.2059,0.0382,-15
2004,1140,1393,0,1.0813,0.9844,0.0969,0.5396,0.2101,0.5377,0.7037,184,12,1.0606,0.9779,0.0827,0.4972,0.1872,0.5093,0.75,171,5,0.0207,0.0065,0.0142,0.0424,7
2004,1343,1400,0,1.0553,0.9534,0.1019,0.5507,0.2276,0.5321,0.7308,148,14,1.1162,0.9608,0.1554,0.4955,0.1708,0.5426,0.7667,322,3,-0.0609,-0.0074,-0.0535,0.0552,11
2004,1150,1403,0,1.0774,0.9713,0.106,0.512,0.2087,0.5318,0.7241,229,9,1.0574,0.959,0.0984,0.4969,0.1784,0.4861,0.6875,223,8,0.0199,0.0123,0.0076,0.0151,1
2004,1433,1448,0,1.0304,0.9313,0.0991,0.5348,0.2386,0.5335,0.7667,217,13,1.1293,1.0168,0.1125,0.5361,0.2022,0.5238,0.6786,229,4,-0.0989,-0.0854,-0.0135,-0.0013,9
2004,1130,1428,1,1.0462,0.9644,0.0818,0.4919,0.2038,0.5217,0.7188,160,6,1.0647,0.9565,0.1082,0.5354,0.2332,0.5614,0.7419,226,11,-0.0185,0.0078,-0.0264,-0.0435,-5
2004,1153,1190,1,1.114,0.9079,0.2061,0.5186,0.1744,0.5263,0.8,420,4,1.0308,0.9194,0.1113,0.514,0.2128,0.4971,0.8276,223,13,0.0832,-0.0116,0.0948,0.0046,-9
2004,1210,1320,1,1.0659,0.9143,0.1516,0.5346,0.2107,0.4995,0.7188,345,3,1.0352,0.9802,0.055,0.5082,0.1892,0.5032,0.6897,115,14,0.0306,-0.0659,0.0966,0.0264,-11
2004,1228,1293,1,1.0947,0.9651,0.1296,0.5262,0.1887,0.5168,0.8,292,5,1.1323,0.9727,0.1596,0.5505,0.194,0.5373,0.8333,342,12,-0.0376,-0.0076,-0.03,-0.0243,-7
2004,1227,1242,0,1.0673,0.9502,0.117,0.5018,0.191,0.5291,0.7742,232,13,1.0581,0.97,0.0881,0.5141,0.2036,0.5181,0.7143,187,4,0.0091,-0.0198,0.0289,-0.0123,9
2004,1197,1246,0,0.9935,1.0052,-0.0117,0.4956,0.2311,0.4779,0.4667,-56,16,1.0608,0.9217,0.1391,0.5257,0.2082,0.53,0.8667,310,1,-0.0673,0.0834,-0.1507,-0.0301,15
2004,1272,1376,1,1.0671,0.956,0.1111,0.5,0.1868,0.5236,0.75,214,7,1.0448,0.93,0.1148,0.4971,0.1932,0.4952,0.697,269,10,0.0222,0.026,-0.0038,0.0029,-3
2004,1280,1284,1,1.0915,0.9265,0.165,0.524,0.2187,0.5509,0.8929,303,2,0.9986,0.9709,0.0278,0.4851,0.1928,0.4762,0.6562,60,15,0.0928,-0.0444,0.1372,0.0388,-13
2004,1301,1418,1,1.0856,0.9715,0.1141,0.5325,0.2017,0.5027,0.6897,236,3,1.0752,0.9903,0.0849,0.5357,0.2041,0.4832,0.6923,166,14,0.0104,-0.0188,0.0292,-0.0032,-11
2004,1186,1329,0,1.0357,1.0037,0.032,0.5396,0.2255,0.4941,0.5714,53,15,1.1351,0.9345,0.2006,0.5601,0.1941,0.5307,0.8966,415,2,-0.0994,0.0692,-0.1686,-0.0204,13
2004,1334,1344,1,1.0609,0.9789,0.082,0.5313,0.2152,0.5049,0.7667,161,12,1.0614,0.9632,0.0982,0.5285,0.2219,0.5039,0.7143,201,5,-0.0005,0.0157,-0.0162,0.0028,7
2004,1338,1416,1,1.1018,0.9085,0.1933,0.524,0.1967,0.539,0.875,409,3,1.0614,0.9367,0.1246,0.5249,0.2263,0.5323,0.8276,241,14,0.0404,-0.0282,0.0686,-0.0009,-11
2004,1412,1449,1,1.0252,0.9227,0.1026,0.4956,0.185,0.4675,0.6897,219,9,1.0679,1.0326,0.0352,0.5185,0.1987,0.499,0.6333,96,8,-0.0426,-0.11,0.0673,-0.0229,1
2004,1435,1444,1,1.0802,0.9592,0.1209,0.5159,0.1848,0.5105,0.7,273,6,1.1382,0.951,0.1872,0.5236,0.1905,0.5405,0.8667,398,11,-0.058,0.0082,-0.0663,-0.0078,-5
2004,1350,1458,0,1.0003,0.9119,0.0884,0.466,0.1992,0.4999,0.625,177,11,1.1122,0.9197,0.1926,0.5038,0.1603,0.524,0.8,359,6,-0.1119,-0.0078,-0.1041,-0.0378,5
2004,1257,1462,0,1.0304,0.8641,0.1663,0.4866,0.1967,0.5038,0.6897,359,10,1.0676,0.9407,0.1269,0.5129,0.1884,0.5131,0.697,266,7,-0.0372,-0.0766,0.0393,-0.0263,3
2004,1104,1390,1,1.0686,1.0056,0.0629,0.5172,0.1985,0.5127,0.5862,138,8,1.096,0.9043,0.1917,0.5327,0.206,0.5512,0.9667,397,1,-0.0274,0.1014,-0.1288,-0.0155,7
2004,1163,1177,1,1.116,0.9091,0.207,0.5317,0.1946,0.559,0.8182,500,2,1.0818,1.0284,0.0533,0.5194,0.2024,0.5371,0.7,96,7,0.0343,-0.1194,0.1537,0.0123,-5
2004,1181,1371,1,1.132,0.9162,0.2159,0.5351,0.2008,0.5163,0.8438,473,1,1.0692,0.9494,0.1198,0.5156,0.1941,0.5194,0.6786,219,8,0.0629,-0.0332,0.0961,0.0195,-7
2004,1211,1305,0,1.1866,0.9441,0.2424,0.5784,0.1949,0.5613,0.931,476,2,1.0829,0.9452,0.1377,0.4985,0.1859,0.5394,0.7333,280,10,0.1037,-0.001,0.1047,0.0799,-8
2004,1386,1403,1,1.1427,0.9037,0.239,0.569,0.1713,0.4725,0.9643,456,1,1.0574,0.959,0.0984,0.4969,0.1784,0.4861,0.6875,223,8,0.0853,-0.0553,0.1406,0.0721,-7
2004,1268,1393,0,1.0299,0.9603,0.0696,0.4841,0.2009,0.5144,0.6333,168,4,1.0606,0.9779,0.0827,0.4972,0.1872,0.5093,0.75,171,5,-0.0306,-0.0176,-0.013,-0.0131,-1
2004,1314,1400,0,1.0822,0.9883,0.0939,0.5162,0.2064,0.5264,0.6429,213,6,1.1162,0.9608,0.1554,0.4955,0.1708,0.5426,0.7667,322,3,-0.034,0.0276,-0.0616,0.0207,3
2004,1264,1448,0,1.0847,0.9282,0.1566,0.4946,0.1898,0.5101,0.8276,316,12,1.1293,1.0168,0.1125,0.5361,0.2022,0.5238,0.6786,229,4,-0.0446,-0.0886,0.044,-0.0416,8
2004,1130,1210,0,1.0462,0.9644,0.0818,0.4919,0.2038,0.5217,0.7188,160,6,1.0659,0.9143,0.1516,0.5346,0.2107,0.4995,0.7188,345,3,-0.0197,0.0501,-0.0698,-0.0428,3
2004,1153,1228,0,1.114,0.9079,0.2061,0.5186,0.1744,0.5263,0.8,420,4,1.0947,0.9651,0.1296,0.5262,0.1887,0.5168,0.8,292,5,0.0193,-0.0572,0.0765,-0.0076,-1
2004,1242,1334,1,1.0581,0.97,0.0881,0.5141,0.2036,0.5181,0.7143,187,4,1.0609,0.9789,0.082,0.5313,0.2152,0.5049,0.7667,161,12,-0.0028,-0.0089,0.0061,-0.0172,-8
2004,1272,1329,0,1.0671,0.956,0.1111,0.5,0.1868,0.5236,0.75,214,7,1.1351,0.9345,0.2006,0.5601,0.1941,0.5307,0.8966,415,2,-0.0681,0.0215,-0.0896,-0.06,5
2004,1338,1458,1,1.1018,0.9085,0.1933,0.524,0.1967,0.539,0.875,409,3,1.1122,0.9197,0.1926,0.5038,0.1603,0.524,0.8,359,6,-0.0104,-0.0111,0.0007,0.0202,-3
2004,1246,1412,0,1.0608,0.9217,0.1391,0.5257,0.2082,0.53,0.8667,310,1,1.0252,0.9227,0.1026,0.4956,0.185,0.4675,0.6897,219,9,0.0356,-0.0009,0.0365,0.0301,-8
2004,1301,1435,0,1.0856,0.9715,0.1141,0.5325,0.2017,0.5027,0.6897,236,3,1.0802,0.9592,0.1209,0.5159,0.1848,0.5105,0.7,273,6,0.0054,0.0122,-0.0068,0.0166,-3
2004,1280,1462,0,1.0915,0.9265,0.165,0.524,0.2187,0.5509,0.8929,303,2,1.0676,0.9407,0.1269,0.5129,0.1884,0.5131,0.697,266,7,0.0239,-0.0142,0.0381,0.0111,-5
2004,1104,1393,1,1.0686,1.0056,0.0629,0.5172,0.1985,0.5127,0.5862,138,8,1.0606,0.9779,0.0827,0.4972,0.1872,0.5093,0.75,171,5,0.008,0.0277,-0.0197,0.02,3
2004,1163,1435,1,1.116,0.9091,0.207,0.5317,0.1946,0.559,0.8182,500,2,1.0802,0.9592,0.1209,0.5159,0.1848,0.5105,0.7,273,6,0.0359,-0.0502,0.086,0.0158,-4
2004,1329,1338,1,1.1351,0.9345,0.2006,0.5601,0.1941,0.5307,0.8966,415,2,1.1018,0.9085,0.1933,0.524,0.1967,0.539,0.875,409,3,0.0333,0.026,0.0074,0.036,-1
2004,1386,1448,1,1.1427,0.9037,0.239,0.569,0.1713,0.4725,0.9643,456,1,1.1293,1.0168,0.1125,0.5361,0.2022,0.5238,0.6786,229,4,0.0134,-0.113,0.1265,0.0329,-3
2004,1181,1228,1,1.132,0.9162,0.2159,0.5351,0.2008,0.5163,0.8438,473,1,1.0947,0.9651,0.1296,0.5262,0.1887,0.5168,0.8,292,5,0.0373,-0.0489,0.0862,0.0089,-4
2004,1210,1305,1,1.0659,0.9143,0.1516,0.5346,0.2107,0.4995,0.7188,345,3,1.0829,0.9452,0.1377,0.4985,0.1859,0.5394,0.7333,280,10,-0.017,-0.0309,0.0139,0.0362,-7
2004,1242,1412,1,1.0581,0.97,0.0881,0.5141,0.2036,0.5181,0.7143,187,4,1.0252,0.9227,0.1026,0.4956,0.185,0.4675,0.6897,219,9,0.0329,0.0474,-0.0144,0.0185,-5
